Name,MC_USD_Billion,MC_GBP_Billion,MC_EUR_Billion,MC_INR_Billion
JPMorgan Chase,432.92,324.69,367.98,32252.54
Bank of America,231.52,173.64,196.79,17248.24
Industrial and Commercial Bank of China,194.56,145.92,165.38,14494.72
Agricultural Bank of China,160.68,120.51,136.58,11970.66
HDFC Bank,157.91,118.43,134.22,11764.3
Wells Fargo,155.87,116.9,132.49,11612.32
HSBC Holdings PLC,148.9,111.68,126.56,11093.05
Morgan Stanley,140.83,105.62,119.71,10491.84
China Construction Bank,139.82,104.86,118.85,10416.59
Bank of China,136.81,102.61,116.29,10192.34
